Name,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Calibration Image,Capture ID,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Group ID,Image Height,Image Width,Image X,Image Y,Intensity,Length,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD),Volume (ESD),Width
2022-09-30_AM-Sample_Raw-Lake_Test1,106.9271,106.9271,0.6822,202.3963,202.0940,201.7096,1131.6342,670.4142,831.7549,0.3404,0,12,1009,1763,7.1192,4.5625,1000.0000,7.2522,4.5590,1000.0000,-0.0035,0.6714,0.7768,0.9262,1.2874,41.4760,0.9929,09-30-2022 13:48:59,11.6681,12.4624,11.6681,79.7000,4.8600,1.2344,-25.0000,-90.0000,0.0000,1.1131,0.0000,0.8101,12.9970,10.5290,12,74,86,0,0,103.4268,14.4670,1,47.0519,1.0015,0.9966,0.9981,1.1344,0.0000,0.0000,0.0000,44.7682,2407641,0.0000,0,0.0000,0.0000,122147.0000,0.7759,09-30-2022 13:48:59,09-30-2022 13:48:59,0.0637,2D46318A40E811ED8B1900301809E817,831.7549,1013.4586,10.0418
2022-09-30_AM-Sample_Raw-Lake_Test1,89.0969,90.0089,0.4646,198.3439,198.0875,197.6839,359.6154,951.4127,632.6416,0.3404,0,13,883,1595,7.1683,4.4095,1000.0000,7.2914,4.5743,1000.0000,0.1648,0.0493,0.3177,0.4630,3.1476,53.0731,0.6773,09-30-2022 13:48:59,10.6509,16.1974,10.7053,51.3146,5.0470,7.7596,-90.0000,-15.0000,0.4669,0.6817,0.0000,0.1289,30.2094,3.8932,13,106,76,0,0,157.2873,20.5942,2,68.2051,1.0013,0.9967,0.9980,1.2851,0.0000,0.0000,0.0000,21.2022,2407642,0.0000,0,0.0000,0.0000,158231.0000,0.1941,09-30-2022 13:48:59,09-30-2022 13:48:59,0.3424,2D4634B540E811ED8B1900301809E817,632.6416,2225.0095,10.3822
2022-09-30_AM-Sample_Raw-Lake_Test1,195.6342,196.9019,0.7930,190.0089,190.0049,190.0285,785.3412,8153.7008,2058.4060,0.3404,0,14,698,224,4.9030,3.6684,52.0000,5.5982,4.2095,52.0000,0.5411,0.0000,0.2045,0.3866,4.8901,87.1041,0.5188,09-30-2022 13:48:59,15.7826,27.0051,15.8336,48.9815,5.8910,13.2875,-85.0000,10.0000,0.6563,0.6038,0.0000,0.0753,56.0985,4.2219,14,143,105,0,0,151.1836,33.8698,2,120.6409,1.0000,1.0001,1.0001,1.3850,0.0000,0.0000,0.0000,51.0547,2407643,0.0000,0,0.0000,0.0000,307205.0000,0.3925,09-30-2022 13:48:59,09-30-2022 13:48:59,0.4156,2D4637C140E811ED8B1900301809E817,2058.4060,10311.7977,18.8922
2022-09-30_AM-Sample_Raw-Lake_Test1,129.0694,129.0694,0.5673,196.8911,196.6762,196.4026,569.7619,1106.3589,1103.0589,0.3404,0,15,528,692,7.2283,4.3999,1000.0000,7.2976,4.5406,1000.0000,0.1407,0.2861,0.3090,0.7036,3.2362,53.5152,0.7805,09-30-2022 13:48:59,12.8194,16.3297,12.8194,56.3474,6.1720,8.0424,-80.0000,25.0000,0.7514,0.5710,0.0000,0.1243,36.0683,4.4848,15,103,84,0,0,145.3324,20.5942,1,81.1061,1.0011,0.9975,0.9986,1.5156,0.0000,0.0000,0.0000,30.4716,2407644,0.0000,0,0.0000,0.0000,202884.0000,0.3262,09-30-2022 13:48:59,09-30-2022 13:48:59,0.2150,2D463A7540E811ED8B1900301809E817,1103.0589,2280.0102,11.7438
2022-09-30_AM-Sample_Raw-Lake_Test1,232.1056,235.8306,0.7210,191.4676,191.3169,191.2210,1354.8187,2727.6509,2660.0656,0.3404,0,16,278,77,7.4354,4.5362,1000.0000,7.4933,4.8758,1000.0000,0.3396,0.4827,0.3320,0.8484,3.0124,67.3172,0.8062,09-30-2022 13:48:59,17.1909,20.7077,17.3283,59.5341,6.6410,7.3273,-20.0000,85.0000,0.8589,0.5379,0.0000,0.1365,45.2440,6.1747,16,97,112,0,0,130.7967,24.3386,1,102.8374,1.0008,0.9987,0.9995,1.5277,0.0000,0.0000,0.0000,38.0089,2407645,0.0000,0,0.0000,0.0000,310773.0000,0.4938,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1698,2D463D2A40E811ED8B1900301809E817,2660.0656,4649.3487,17.1902
2022-09-30_AM-Sample_Raw-Lake_Test1,80.7148,91.5302,0.9581,199.4150,199.2275,199.0997,878.5650,656.8430,545.4984,0.3404,0,17,223,1596,7.3991,4.6156,1000.0000,7.4420,4.6561,1000.0000,0.0405,0.8657,0.8699,0.9865,1.1496,37.5856,1.0000,09-30-2022 13:48:59,10.1375,11.2521,10.7954,33.5619,6.7040,1.0000,-90.0000,-65.0000,0.0000,1.0985,0.0000,1.0000,10.3807,10.3807,17,78,77,0,0,172.4951,11.4034,1,41.5229,1.0009,0.9984,0.9994,1.1048,0.0000,0.0000,0.0000,20.1831,2407646,0.0000,0,0.0000,0.0000,159213.0000,0.8124,09-30-2022 13:48:59,09-30-2022 13:48:59,0.0991,2D463FF640E811ED8B1900301809E817,545.4984,745.9344,10.7226
2022-09-30_AM-Sample_Raw-Lake_Test1,85.9600,85.9600,0.6554,194.6513,194.8482,195.1015,367.7451,549.8128,599.5270,0.3404,0,18,867,367,7.3837,4.5586,1000.0000,7.4369,4.7750,1000.0000,0.2164,0.5324,0.3599,0.8328,2.7786,41.5037,0.8207,09-30-2022 13:48:59,10.4617,12.5097,10.4617,39.3608,6.8910,6.5771,-40.0000,45.0000,0.8842,0.5307,0.0000,0.1520,27.2590,4.1445,18,81,83,0,0,172.1395,14.4670,2,62.8071,0.9990,1.0023,1.0013,1.5133,0.0000,0.0000,0.0000,33.8906,2407647,0.0000,0,0.0000,0.0000,167836.0000,0.6105,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1637,2D4642A440E811ED8B1900301809E817,599.5270,1025.0364,10.3822
2022-09-30_AM-Sample_Raw-Lake_Test1,113.1854,113.1854,0.6907,202.1618,202.1288,201.9992,570.4304,832.0612,905.8353,0.3404,0,19,902,1176,5.2486,4.1553,43.0000,3.9615,3.5905,43.0000,-0.5648,0.4299,0.4014,0.8659,2.4915,45.7294,0.9016,09-30-2022 13:48:59,12.0047,13.8429,12.0047,63.2989,7.6100,5.6504,30.0000,-45.0000,0.8015,0.5551,0.0000,0.1770,28.5160,5.0468,19,88,84,0,0,140.1006,15.8286,1,67.1255,1.0002,0.9992,0.9994,1.4679,0.0000,0.0000,0.0000,43.7494,2407648,0.0000,0,0.0000,0.0000,174005.0000,0.2763,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1328,2D46454C40E811ED8B1900301809E817,905.8353,1388.9385,11.0630
2022-09-30_AM-Sample_Raw-Lake_Test1,118.4329,118.4329,0.1569,190.5901,190.5878,190.4772,514.0946,288.7574,969.5542,0.3404,0,20,213,292,5.2486,4.1553,43.0000,3.9615,3.5905,43.0000,-0.5648,0.0000,0.3149,0.2961,3.1757,69.0780,0.9546,09-30-2022 13:48:59,12.2798,21.2655,12.2798,31.0379,7.6100,7.8492,85.0000,-5.0000,0.0661,0.9380,0.0000,0.1274,34.2927,4.3689,20,138,61,0,0,181.0719,32.1678,1,77.3233,1.0000,0.9994,0.9994,1.1194,0.0000,0.0000,0.0000,28.8784,2407648,0.0000,0,0.0000,0.0000,234126.0000,0.7319,09-30-2022 13:48:59,09-30-2022 13:48:59,0.4225,2D46480140E811ED8B1900301809E817,969.5542,5035.3323,4.2550
2022-09-30_AM-Sample_Raw-Lake_Test1,396.6788,560.6242,0.9128,180.8082,180.0661,179.3610,11071.6954,9549.7449,5943.2264,0.3404,0,21,889,1012,5.2590,3.8172,55.0000,5.6310,4.3543,55.0000,0.5372,0.8779,0.8435,0.9935,1.1855,88.0250,0.9952,09-30-2022 13:48:59,22.4737,27.2982,26.7172,72.8057,8.4220,1.0000,-70.0000,-10.0000,0.0000,1.1907,0.0000,1.0000,24.1569,24.1569,21,128,120,0,0,142.2765,28.7638,1,96.6276,1.0041,0.9920,0.9961,1.0977,0.0000,0.0000,0.0000,33.5040,2407649,0.0000,0,0.0000,0.0000,555732.0000,0.8751,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1767,2D464A9F40E811ED8B1900301809E817,5943.2264,10651.2389,25.3598
2022-09-30_AM-Sample_Raw-Lake_Test1,107.8491,107.8491,0.1308,197.7429,197.5571,197.5739,422.7638,211.2688,842.5367,0.3404,0,22,208,1206,7.3714,4.5107,1000.0000,7.4323,4.6779,1000.0000,0.1672,0.0000,0.2815,0.2474,3.5519,70.4646,0.9452,09-30-2022 13:48:59,11.7183,21.6721,11.7183,26.8531,9.0470,9.0482,-90.0000,0.0000,0.0981,0.9107,0.0000,0.1105,35.3219,3.9037,22,139,55,0,0,190.8563,32.1678,1,78.4513,1.0009,0.9991,1.0001,1.1133,0.0000,0.0000,0.0000,22.6399,2407650,0.0000,0,0.0000,0.0000,227119.0000,0.7492,09-30-2022 13:48:59,09-30-2022 13:48:59,0.4593,2D464D3140E811ED8B1900301809E817,842.5367,5329.7104,3.5742
2022-09-30_AM-Sample_Raw-Lake_Test1,163.6516,163.6516,0.7407,196.7517,196.5538,196.3102,1517.4672,1400.1660,1574.8686,0.3404,0,23,405,750,7.1575,4.3724,1000.0000,7.2097,4.4661,1000.0000,0.0937,0.6626,0.6807,0.9270,1.4691,51.7391,0.9589,09-30-2022 13:48:59,14.4349,15.7435,14.4349,55.2968,9.1880,2.1504,45.0000,-60.0000,0.1185,0.8941,0.0000,0.4650,20.7499,9.6495,23,90,91,0,0,122.3779,18.5518,1,60.7989,1.0010,0.9978,0.9988,1.1751,0.0000,0.0000,0.0000,36.4097,2407651,0.0000,0,0.0000,0.0000,211469.0000,0.6338,09-30-2022 13:48:59,09-30-2022 13:48:59,0.0831,2D464FE540E811ED8B1900301809E817,1574.8686,2043.1605,13.4458
2022-09-30_AM-Sample_Raw-Lake_Test1,209.9153,209.9153,0.0550,200.3526,200.3503,200.2810,681.0079,297.7237,2287.8626,0.3404,0,24,664,1411,7.5422,4.7000,1000.0000,7.6174,4.8646,1000.0000,0.1646,0.0000,0.1360,0.1059,7.3543,141.2529,0.9275,09-30-2022 13:48:59,16.3485,44.2425,16.3485,81.6838,9.5940,21.0567,50.0000,-40.0000,0.0601,0.9433,0.0000,0.0475,72.7133,3.4532,24,204,170,0,0,142.4596,68.5906,1,152.3330,1.0000,0.9996,0.9997,1.0784,0.0000,0.0000,0.0000,24.4901,2407652,0.0000,0,0.0000,0.0000,308710.0000,0.6937,09-30-2022 13:48:59,09-30-2022 13:48:59,0.6305,2D46527D40E811ED8B1900301809E817,2287.8626,45343.9041,3.9146
2022-09-30_AM-Sample_Raw-Lake_Test1,337.7094,426.2187,0.9183,178.5611,178.1345,177.6924,6002.0148,6400.4056,4668.5131,0.3404,0,25,178,93,7.4559,4.6076,1000.0000,7.5352,4.7182,1000.0000,0.1105,0.8042,0.7048,0.9890,1.4189,79.0363,0.9678,09-30-2022 13:48:59,20.7361,24.4521,23.2955,77.0769,10.3910,1.9428,-15.0000,50.0000,0.1333,0.8824,0.0000,0.5147,30.6682,15.7855,25,114,121,0,0,135.7382,27.0618,1,92.9074,1.0024,0.9951,0.9975,1.1755,0.0000,0.0000,0.0000,24.0739,2407653,0.0000,0,0.0000,0.0000,456216.0000,0.6802,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1520,2D46552240E811ED8B1900301809E817,4668.5131,7655.0025,22.6366
2022-09-30_AM-Sample_Raw-Lake_Test1,134.6650,134.6650,0.0661,198.6752,198.8538,198.9255,334.6768,279.9310,1175.5625,0.3404,0,26,521,418,5.7757,3.8932,118.0000,6.1630,4.3355,118.0000,0.4423,0.0000,0.1116,0.0962,8.9630,140.4438,0.6005,09-30-2022 13:48:59,13.0943,43.9967,13.0943,40.8381,10.6570,26.1198,-90.0000,0.0000,0.0000,1.0303,0.0000,0.0383,66.2458,2.5362,26,247,60,0,0,162.7462,68.2502,3,137.5641,0.9991,1.0013,1.0004,0.9795,0.0000,0.0000,0.0000,30.1257,2407654,0.0000,0,0.0000,0.0000,235982.0000,0.3929,09-30-2022 13:48:59,09-30-2022 13:48:59,0.7024,2D4657BA40E811ED8B1900301809E817,1175.5625,44592.2033,4.5954
2022-09-30_AM-Sample_Raw-Lake_Test1,181.5044,181.5044,0.0216,200.8857,200.7076,200.1876,223.5956,529.0967,1839.4783,0.3404,0,27,1001,695,7.1996,4.4463,1000.0000,7.3044,4.6274,1000.0000,0.1811,0.0000,0.0236,0.0172,42.4153,338.3841,0.3994,09-30-2022 13:48:59,15.2019,107.0180,15.2019,31.9854,10.7040,131.2440,-90.0000,0.0000,0.0113,0.9888,0.0000,0.0076,169.8937,1.2945,27,541,59,0,0,175.7893,167.9874,4,342.3764,1.0009,0.9965,0.9974,1.0118,0.0000,0.0000,0.0000,11.9043,2407655,0.0000,0,0.0000,0.0000,333648.0000,0.4503,09-30-2022 13:48:59,09-30-2022 13:48:59,0.8579,2D465A5540E811ED8B1900301809E817,1839.4783,641754.3824,4.9358
2022-09-30_AM-Sample_Raw-Lake_Test1,134.4575,134.4575,0.5353,201.8916,201.9282,202.0373,371.0613,2506.6475,1172.8469,0.3404,0,28,862,1014,7.6233,4.7769,1000.0000,7.6865,4.7918,1000.0000,0.0150,0.1743,0.1354,0.4239,7.3873,64.8212,0.5548,09-30-2022 13:48:59,13.0842,19.9229,13.0842,71.5893,11.2660,21.1608,-70.0000,5.0000,1.5186,0.3970,0.0000,0.0473,59.5854,2.8158,28,111,88,0,0,158.4965,23.6578,3,124.8024,0.9998,1.0007,1.0005,1.9253,0.0000,0.0000,0.0000,38.2323,2407656,0.0000,0,0.0000,0.0000,229503.0000,0.3371,09-30-2022 13:48:59,09-30-2022 13:48:59,0.3433,2D46663940E811ED8B1900301809E817,1172.8469,4140.5056,13.7862
2022-09-30_AM-Sample_Raw-Lake_Test1,138.6099,138.6099,0.2188,201.4966,201.5954,201.8945,467.0498,935.4644,1227.5958,0.3404,0,29,549,1245,4.6285,3.7186,45.0000,5.5883,4.2753,45.0000,0.5567,0.0000,0.1897,0.2799,5.2723,87.8061,0.6217,09-30-2022 13:48:59,13.2847,27.2225,13.2847,41.6061,11.4070,14.4944,-90.0000,-10.0000,0.2715,0.7865,0.0000,0.0690,49.9909,3.4490,29,160,74,0,0,178.5759,39.3162,2,106.8797,0.9995,1.0020,1.0015,1.2172,0.0000,0.0000,0.0000,39.2204,2407657,0.0000,0,0.0000,0.0000,265721.0000,0.4732,09-30-2022 13:48:59,09-30-2022 13:48:59,0.5120,2D466D0340E811ED8B1900301809E817,1227.5958,10562.9389,8.3398
2022-09-30_AM-Sample_Raw-Lake_Test1,106.4150,107.3368,0.1052,198.7594,198.6896,198.7781,343.6625,169.9322,825.7874,0.3404,0,30,635,1427,6.9159,4.1888,1000.0000,7.0672,4.4581,1000.0000,0.2693,0.0000,0.2014,0.1998,4.9640,80.4881,0.9382,09-30-2022 13:48:59,11.6401,24.8681,11.6904,33.2817,11.5630,13.5210,-80.0000,10.0000,0.1352,0.8809,0.0000,0.0740,43.0876,3.1867,30,154,70,0,0,195.7628,37.9546,1,92.5487,1.0004,1.0001,1.0004,1.1498,0.0000,0.0000,0.0000,25.5666,2407658,0.0000,0,0.0000,0.0000,230217.0000,0.7196,09-30-2022 13:48:59,09-30-2022 13:48:59,0.5319,2D4672DD40E811ED8B1900301809E817,825.7874,8052.4311,2.8934
2022-09-30_AM-Sample_Raw-Lake_Test1,80.8155,81.7218,0.6343,199.4188,199.4859,199.4708,721.7217,441.8723,546.5192,0.3404,0,31,596,858,7.0949,4.3736,1000.0000,7.1601,4.4981,1000.0000,0.1245,0.6061,0.7544,0.8810,1.3256,37.8482,0.9915,09-30-2022 13:48:59,10.1438,11.3372,10.2006,59.3514,11.8290,1.4963,65.0000,5.0000,0.0000,1.0572,0.0000,0.6683,12.7187,8.5000,31,83,68,0,0,175.4491,13.4458,1,42.4373,0.9997,1.0003,0.9999,1.1213,0.0000,0.0000,0.0000,32.3420,2407659,0.0000,0,0.0000,0.0000,162115.0000,0.7627,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1053,2D46792A40E811ED8B1900301809E817,546.5192,762.9873,7.6590
2022-09-30_AM-Sample_Raw-Lake_Test1,103.4480,104.3682,0.0396,190.4821,190.6617,190.7149,214.1911,65.9736,791.4922,0.3404,0,32,327,65,7.6512,4.8176,1000.0000,7.6990,4.8089,1000.0000,-0.0087,0.0000,0.0915,0.0715,10.9323,124.1573,0.8121,09-30-2022 13:48:59,11.4767,38.7867,11.5276,47.5968,12.0470,32.3138,-90.0000,0.0000,0.0889,0.9184,0.0000,0.0309,65.7904,2.0360,32,222,54,0,0,159.5510,60.4210,1,135.6527,0.9991,1.0012,1.0003,1.0926,0.0000,0.0000,0.0000,15.8165,2407660,0.0000,0,0.0000,0.0000,183005.0000,0.7468,09-30-2022 13:48:59,09-30-2022 13:48:59,0.7041,2D467ECB40E811ED8B1900301809E817,791.4922,30552.4993,3.2338
